[11-03-23 23:57:04.875] LOG  : General     , 1678579024875> 0> SapphCooking.BowlofOmurice: DisplayCategory, FoodP.
[11-03-23 23:57:04.875] LOG  : General     , 1678579024875> 0> SapphCooking.ArborioRiceBowl: DisplayCategory, FoodP.
[11-03-23 23:57:04.876] LOG  : General     , 1678579024876> 0> SapphCooking.ParmesanCheese: DisplayCategory, FoodP.
[11-03-23 23:57:04.876] LOG  : General     , 1678579024876> 0> SapphCooking.MozzarelaCheese: DisplayCategory, FoodP.
[11-03-23 23:57:04.876] LOG  : General     , 1678579024876> 0> SapphCooking.SaucepanwithRisotto: DisplayCategory, FoodP.
[11-03-23 23:57:04.876] LOG  : General     , 1678579024876> 0> SapphCooking.BowlofRisotto: DisplayCategory, FoodP.
[11-03-23 23:57:04.876] LOG  : General     , 1678579024876> 0> SapphCooking.BowlofGuacamole: DisplayCategory, FoodP.
[11-03-23 23:57:04.876] LOG  : General     , 1678579024876> 0> SapphCooking.CreamCheese: DisplayCategory, FoodP.
[11-03-23 23:57:04.876] LOG  : General     , 1678579024876> 0> SapphCooking.SaucepanwithCheese: DisplayCategory, FoodP.
[11-03-23 23:57:04.876] LOG  : General     , 1678579024876> 0> SapphCooking.SaucepanwithQueso: DisplayCategory, FoodP.
[11-03-23 23:57:04.876] LOG  : General     , 1678579024876> 0> SapphCooking.SmallDough: DisplayCategory, FoodP.
[11-03-23 23:57:04.876] LOG  : General     , 1678579024876> 0> SapphCooking.BrownRiceBowl: DisplayCategory, FoodP.
[11-03-23 23:57:04.876] LOG  : General     , 1678579024876> 0> SapphCooking.SaucepanwithBrownRice: DisplayCategory, FoodP.
[11-03-23 23:57:04.876] LOG  : General     , 1678579024876> 0> SapphCooking.SaucepanwithCookedCutPotatoes: DisplayCategory, FoodP.
[11-03-23 23:57:04.876] LOG  : General     , 1678579024876> 0> SapphCooking.SaucepanwithMashedPotatoes: DisplayCategory, FoodP.
[11-03-23 23:57:04.876] LOG  : General     , 1678579024876> 0> SapphCooking.SaucepanwithNoodleSoup: DisplayCategory, FoodP.
[11-03-23 23:57:04.876] LOG  : General     , 1678579024876> 0> SapphCooking.DoughnutShapedDough: DisplayCategory, FoodP.
[11-03-23 23:57:04.876] LOG  : General     , 1678579024876> 0> SapphCooking.SaucepanwithMeltedChocolate: DisplayCategory, FoodP.
[11-03-23 23:57:04.876] LOG  : General     , 1678579024876> 0> SapphCooking.CandyPopcorn: DisplayCategory, FoodP.
[11-03-23 23:57:04.876] LOG  : General     , 1678579024876> 0> SapphCooking.FilledMeatPastaDough: DisplayCategory, FoodP.
[11-03-23 23:57:04.876] LOG  : General     , 1678579024876> 0> SapphCooking.Ravioli: DisplayCategory, FoodP.
[11-03-23 23:57:04.876] LOG  : General     , 1678579024876> 0> SapphCooking.Tortellini: DisplayCategory, FoodP.
[11-03-23 23:57:04.876] LOG  : General     , 1678579024876> 0> SapphCooking.SaucepanwithTortellini: DisplayCategory, FoodP.
[11-03-23 23:57:04.876] LOG  : General     , 1678579024876> 0> SapphCooking.SaucepanwithRavioli: DisplayCategory, FoodP.
